Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AW, 11/22/33/42/52, 179, 156, 133, 113, 93, 73
AX, 11/21/31/41/51, 187, 162, 137, 116, 95, 75
AY, 12/22/33/42/52, 179, 157, 135, 114, 93, 72
AZ, 13/23/35/43/53, 187, 163, 139, 116, 94, 72
BX1, 41/51/84, 186, 162, 138, 116, 94, 73
BX2, 41/51/87, 186, 162, 138, 116, 94, 73
BY1, 42/52/85, 176, 154, 132, 111, 91, 71
BY2, 42/52/88, 176, 154, 132, 111, 91, 71
BZ1, 43/53/86, 186, 162, 138, 116, 94, 73
CQ1, 41/51/95, 186, 158, 130, 110, 91, 72
CQ2, 41/51/98, 186, 158, 130, 110, 91, 72
CR1, 42/52/96, 171, 147, 123, 105, 88, 71
CR2, 42/52/99, 170, 147, 124, 106, 89, 72
CX1, 41/51/94, 185, 158, 131, 112, 93, 74
CY1, 42/52/95, 176, 150, 124, 106, 88, 70
CY2, 42/52/98, 176, 150, 124, 106, 88, 70
HW, 11/22/34/42/52, 179, 156, 133, 113, 93, 73
HX, 11/21/32/41/51, 187, 161, 135, 114, 93, 73
HY, 12/22/34/42/52, 179, 157, 135, 114, 93, 72
S1, 11/21/31, –, 87, 77, 67, 57, 48
S2, 11/21/32, –, 86, 75, 65, 55, 46
S3, 12/22/33, –, 90, 81, 69, 58, 47
S4, 12/22/34, –, 90, 81, 69, 58, 47
S5, 13/23/35, –, 88, 79, 67, 56, 45
S7, 11/22/33, –, 89, 79, 68, 58, 48
S8, 11/22/34, –, 89, 79, 68, 58, 48
