Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 30, 25, 22, 19, 16
Component 12, 40, 30, 26, 23, 20, 17
Component 13, 40, 29, 26, 23, 20, 17
Component 21, 60, 41, 36, 30, 24, 17
Component 22, 60, 42, 37, 31, 25, 18
Component 23, 60, 41, 35, 28, 22, 16
Component 31, 40, 33, 31, 29, 27, 25
Component 32, 40, 32, 29, 26, 24, 22
Component 33, 40, 32, 30, 27, 24, 22
Component 34, 40, 33, 31, 28, 26, 24
Component 35, 40, 30, 28, 25, 22, 20
Component 41, 100, 71, 62, 51, 40, 28
Component 42, 100, 69, 58, 47, 35, 23
Component 43, 100, 71, 62, 51, 40, 28
Component 51, 30, 24, 21, 18, 14, 11
Component 52, 30, 23, 19, 16, 13, 10
Component 53, 30, 24, 21, 18, 14, 11
