Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 28, 24, 20, 17, 14
Component 12, 40, 27, 24, 20, 17, 14
Component 13, 40, 27, 25, 21, 17, 13
Component 21, 60, 36, 31, 25, 19, 14
Component 22, 60, 33, 28, 22, 16, 11
Component 23, 60, 38, 33, 27, 21, 15
Component 31, 40, 30, 28, 26, 24, 22
Component 32, 40, 31, 29, 27, 25, 23
Component 33, 40, 31, 29, 27, 25, 23
Component 34, 40, 31, 29, 27, 25, 23
Component 35, 40, 29, 27, 24, 22, 20
Component 41, 100, 55, 44, 36, 28, 19
Component 42, 100, 55, 43, 35, 27, 18
Component 43, 100, 55, 44, 36, 28, 19
Component 51, 30, 19, 15, 12, 10, 8
Component 52, 30, 20, 16, 13, 11, 9
Component 53, 30, 19, 15, 12, 10, 8
