Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 25, 21, 18, 15, 13
Component 12, 40, 23, 19, 16, 13, 11
Component 13, 40, 26, 22, 19, 17, 14
Component 21, 60, 36, 30, 22, 14, 7
Component 22, 60, 37, 30, 23, 16, 8
Component 23, 60, 34, 29, 24, 18, 12
Component 31, 40, 30, 28, 25, 22, 19
Component 33, 40, 29, 27, 24, 21, 18
Component 34, 40, 32, 30, 27, 24, 21
Component 35, 40, 33, 29, 26, 23, 20
Component 36, 40, 31, 26, 23, 20, 18
Component 41, 100, 58, 48, 39, 29, 18
Component 42, 100, 60, 51, 42, 32, 21
Component 43, 100, 58, 48, 39, 29, 18
Component 50, 75, 55, 47, 38, 29, 20
Component 51, 30, 21, 19, 15, 11, 8
Component 52, 30, 22, 19, 15, 11, 8
Component 53, 30, 21, 19, 15, 11, 8
