Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/21/31/41/51, 197, 171, 145, 122, 99, 77
AY, 12/22/33/42/52, 185, 162, 139, 115, 92, 69
AZ, 13/23/35/43/53, 187, 162, 137, 113, 89, 66
BX1, 41/51/84, 190, 164, 138, 116, 94, 72
BX2, 41/51/87, 190, 163, 136, 114, 92, 70
BY1, 42/52/85, 188, 165, 142, 118, 95, 72
BY2, 42/52/88, 188, 165, 142, 118, 95, 72
BZ1, 43/53/86, 190, 165, 140, 116, 92, 69
CP1, 43/53/94, 200, 170, 140, 117, 94, 72
CQ1, 41/51/95, 199, 169, 139, 116, 93, 71
CQ2, 41/51/98, 199, 170, 141, 118, 96, 74
CR1, 42/52/96, 197, 169, 141, 119, 97, 76
CR2, 42/52/99, 197, 168, 139, 117, 96, 75
CX1, 41/51/94, 200, 170, 140, 117, 94, 72
CY1, 42/52/95, 195, 167, 139, 116, 94, 72
CY2, 42/52/98, 195, 168, 141, 119, 97, 75
CZ1, 43/53/96, 201, 171, 141, 119, 97, 75
CZ2, 43/53/99, 201, 170, 139, 117, 95, 74
HX, 11/21/32/41/51, 197, 170, 143, 120, 97, 75
HY, 12/22/34/42/52, 186, 163, 140, 116, 93, 70
WB1, 42/52/82, 188, 164, 140, 117, 95, 73
WB2, 42/52/83, 188, 164, 140, 117, 95, 73
S1, 11/21/31, –, 94, 84, 73, 63, 53
S2, 11/21/32, –, 93, 82, 71, 61, 51
S3, 12/22/33, –, 87, 78, 66, 55, 44
S4, 12/22/34, –, 88, 79, 67, 56, 45
S5, 13/23/35, –, 85, 76, 64, 53, 42
