Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AY (AY1), 12/22/33/42/52, 209, 190, 171, 147, 123, 100
AY (AY2), 12/22/33, –, 103, 94, 82, 70, 59
BY (BY1), 42/52/85, 203, 183, 163, 139, 116, 93
BY (BY2), 42/52/88, 205, 184, 163, 140, 117, 94
CY (CY1), 42/52/95, 201, 179, 157, 135, 113, 92
CY (CY2), 42/52/98, 197, 176, 155, 133, 111, 89
DV (DV1), 12/22/33/42/52, 209, 190, 171, 147, 123, 100
DV (DV2), 42/52/75, 197, 179, 161, 138, 115, 93
DV (DV3), 42/52/85, 203, 183, 163, 139, 116, 93
DV (DV4), 42/52/88, 205, 184, 163, 140, 117, 94
DV (DV5), 42/52/95, 201, 179, 157, 135, 113, 92
DV (DV6), 42/52/98, 197, 176, 155, 133, 111, 89
DV (DV7), 12/22/33, –, 103, 94, 82, 70, 59
EV, 42/52/75, 197, 179, 161, 138, 115, 93
S3, 12/22/33, –, 103, 94, 82, 70, 59
