Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 32, 27, 24, 21, 18
Component 12, 40, 29, 26, 22, 18, 15
Component 13, 40, 27, 24, 20, 16, 13
Component 21, 60, 40, 35, 29, 24, 18
Component 22, 60, 37, 31, 25, 20, 13
Component 23, 60, 36, 30, 24, 19, 12
Component 31, 40, 32, 30, 27, 24, 22
Component 32, 40, 30, 28, 25, 22, 20
Component 33, 40, 31, 29, 26, 23, 21
Component 34, 40, 32, 30, 27, 24, 22
Component 35, 40, 32, 30, 27, 24, 22
Component 41, 100, 56, 42, 33, 24, 14
Component 42, 100, 55, 43, 33, 24, 14
Component 43, 100, 56, 42, 33, 24, 14
Component 51, 30, 23, 20, 16, 13, 10
Component 52, 30, 22, 19, 16, 13, 11
Component 53, 30, 23, 20, 16, 13, 10
