Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 28, 25, 22, 19, 17
Component 12, 40, 28, 24, 20, 18, 14
Component 13, 40, 31, 27, 24, 21, 18
Component 21, 60, 38, 31, 26, 21, 16
Component 22, 60, 38, 32, 28, 23, 18
Component 23, 60, 39, 31, 26, 21, 15
Component 31, 40, 31, 28, 25, 22, 20
Component 33, 40, 34, 32, 29, 27, 25
Component 34, 40, 31, 29, 26, 23, 21
Component 35, 40, 33, 30, 27, 25, 23
Component 36, 40, 31, 28, 25, 23, 21
Component 41, 100, 64, 56, 45, 34, 23
Component 42, 100, 66, 56, 46, 35, 24
Component 43, 100, 64, 56, 45, 34, 23
Component 51, 30, 23, 20, 17, 14, 11
Component 52, 30, 21, 19, 16, 14, 12
Component 53, 30, 23, 20, 17, 14, 11
