Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/21/31/41/51, 185, 166, 147, 122, 98, 74
AY, 12/22/33/42/52, 191, 169, 147, 123, 99, 75
AZ, 13/23/35/43/53, 196, 173, 150, 123, 97, 71
BT1, 42/52/84, 205, 182, 159, 134, 109, 85
BT2, 42/52/87, 204, 181, 158, 133, 108, 83
BTJ, 42/52, 94, 82, 70, 53, 37, 21
BU1, 43/53/85, 196, 177, 158, 132, 107, 82
BU2, 43/53/88, 198, 178, 158, 133, 108, 83
BUJ, 43/53, 87, 77, 67, 51, 35, 19
BY1, 42/52/85, 203, 182, 161, 135, 110, 85
BY2, 42/52/88, 205, 183, 161, 136, 111, 86
BYJ, 42/52, 94, 82, 70, 53, 37, 21
BZJ, 43/53, 87, 77, 67, 51, 35, 19
CX1, 41/51/94, 191, 170, 149, 125, 101, 78
CY1, 42/52/95, 201, 178, 155, 131, 107, 84
CY2, 42/52/98, 197, 175, 153, 129, 105, 81
CZ1, 43/53/96, 199, 176, 153, 128, 104, 80
CZ2, 43/53/99, 197, 174, 151, 127, 103, 79
EV, 42/52/75, 209, 189, 169, 143, 117, 92
HY, 12/22/34/42/52, 190, 168, 146, 122, 98, 74
HZ, 13/23/36/43/53, 193, 170, 147, 120, 93, 67
S1, 11/21/31, –, 85, 75, 64, 54, 44
S3, 12/22/33, –, 83, 72, 62, 52, 42
S4, 12/22/34, –, 82, 71, 61, 51, 41
S5, 13/23/35, –, 92, 78, 65, 53, 41
S6, 13/23/36, –, 89, 75, 62, 49, 37
