Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 260, 11, 21, 31, 41, 51, 191, 167, 143, 117, 91, 65
AY, 260, 12, 22, 33, 42, 52, 187, 162, 137, 109, 81, 53
AZ, 260, 13, 23, 35, 43, 53, 191, 166, 141, 114, 88, 62
BX1, 260, 41, 51, 84, 186, 165, 144, 119, 94, 70
BX2, 260, 41, 51, 87, 185, 164, 143, 118, 94, 70
BXJ, 130, 41, 51, 85, 74, 63, 47, 32, 17
BY1, 260, 42, 52, 85, 191, 166, 141, 113, 86, 59
BY2, 260, 42, 52, 88, 186, 162, 138, 110, 82, 55
BYJ, 130, 42, 52, 82, 70, 58, 43, 28, 13
BZ1, 260, 43, 53, 86, 198, 173, 148, 121, 95, 69
CP1, 260, 43, 53, 94, 185, 162, 139, 113, 88, 63
CQ1, 260, 41, 51, 95, 184, 161, 138, 112, 87, 62
CQ2, 260, 41, 51, 98, 182, 159, 136, 110, 85, 60
CQN, 130, 41, 51, 85, 74, 63, 47, 32, 17
CR1, 260, 42, 52, 96, 186, 161, 136, 109, 82, 56
CR2, 260, 42, 52, 99, 183, 159, 135, 108, 81, 54
CRN, 130, 42, 52, 82, 70, 58, 43, 28, 13
CX1, 260, 41, 51, 94, 185, 162, 139, 113, 88, 63
CY1, 260, 42, 52, 95, 181, 157, 133, 107, 81, 55
CY2, 260, 42, 52, 98, 179, 155, 131, 105, 79, 53
CYN, 130, 42, 52, 82, 70, 58, 43, 28, 13
HX, 260, 11, 21, 32, 41, 51, 191, 167, 143, 117, 91, 65
HY, 260, 12, 22, 34, 42, 52, 187, 162, 137, 109, 81, 54
P1, 75, 50, –, 55, 47, 38, 29, 20
P2, 150, 50, 60, 126, 109, 92, 74, 56, 38
P3, 150, 60, 80, 130, 114, 98, 81, 64, 48
S1, 130, 11, 21, 31, –, 89, 75, 62, 49, 37
S2, 130, 11, 21, 32, –, 89, 75, 62, 49, 37
S3, 130, 12, 22, 33, –, 88, 74, 60, 46, 32
S4, 130, 12, 22, 34, –, 88, 74, 60, 46, 33
S5, 130, 13, 23, 35, –, 88, 73, 60, 47, 34
