Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX1, 11/21/31/41/51, 176, 155, 134, 115, 97, 79
AY1, 12/22/33/42/52, 177, 155, 133, 114, 95, 77
AZ1, 13/23/35/43/53, 180, 159, 138, 118, 98, 78
BY, 42/52/66, 177, 159, 141, 120, 99, 78
BZ, 43/53/66, 185, 166, 147, 124, 101, 78
CY, 42/52/67, 190, 169, 148, 128, 108, 88
CZ, 43/53/67, 198, 176, 154, 132, 110, 88
EY1, 12/22/34/42/52, 177, 155, 133, 114, 95, 77
EZ1, 13/23/36/43/53, 179, 159, 139, 119, 99, 79
S1, 11/21/31, –, 83, 71, 63, 55, 47
S3, 12/22/33, –, 83, 70, 61, 53, 45
S4, 12/22/34, –, 83, 70, 61, 53, 45
S5, 13/23/35, –, 80, 69, 61, 53, 46
S6, 13/23/36, –, 80, 70, 62, 54, 47
