Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 31, 25, 22, 19, 17
Component 12, 40, 29, 25, 21, 17, 14
Component 13, 40, 30, 26, 23, 20, 17
Component 21, 60, 41, 35, 29, 24, 17
Component 22, 60, 45, 38, 30, 24, 16
Component 23, 60, 42, 35, 28, 21, 14
Component 31, 40, 31, 29, 26, 23, 21
Component 32, 40, 32, 30, 28, 26, 24
Component 33, 40, 31, 29, 26, 23, 20
Component 34, 40, 31, 29, 26, 23, 21
Component 35, 40, 32, 30, 27, 24, 21
Component 41, 100, 67, 56, 45, 35, 24
Component 42, 100, 63, 52, 42, 33, 22
Component 43, 100, 67, 56, 45, 35, 24
Component 51, 30, 19, 16, 13, 10, 8
Component 52, 30, 22, 18, 15, 12, 10
Component 53, 30, 19, 16, 13, 10, 8
