Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 28, 25, 22, 19, 17
Component 12, 40, 29, 23, 20, 17, 15
Component 13, 40, 30, 25, 22, 19, 17
Component 21, 60, 42, 36, 29, 22, 16
Component 22, 60, 36, 30, 24, 19, 13
Component 23, 60, 44, 38, 32, 26, 20
Component 31, 40, 33, 31, 28, 26, 24
Component 33, 40, 33, 31, 28, 26, 24
Component 34, 40, 34, 32, 29, 26, 24
Component 35, 40, 33, 30, 27, 25, 23
Component 36, 40, 32, 28, 26, 24, 22
Component 41, 100, 57, 48, 38, 29, 19
Component 42, 100, 52, 44, 35, 26, 17
Component 43, 100, 57, 48, 38, 29, 19
Component 51, 30, 23, 21, 18, 15, 13
Component 52, 30, 22, 20, 17, 14, 12
Component 53, 30, 23, 21, 18, 15, 13
