Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 28, 25, 22, 19, 16
Component 12, 40, 27, 22, 19, 16, 14
Component 13, 40, 28, 24, 21, 19, 17
Component 21, 60, 32, 24, 21, 18, 14
Component 22, 60, 33, 26, 22, 18, 14
Component 23, 60, 30, 25, 21, 17, 13
Component 31, 40, 33, 30, 27, 24, 22
Component 33, 40, 33, 31, 28, 25, 22
Component 34, 40, 33, 31, 28, 25, 23
Component 35, 40, 32, 28, 25, 23, 21
Component 36, 40, 32, 29, 27, 25, 23
Component 41, 100, 53, 45, 37, 29, 20
Component 42, 100, 53, 45, 37, 29, 20
Component 43, 100, 59, 50, 40, 30, 19
Component 51, 30, 21, 19, 16, 14, 12
Component 52, 30, 21, 19, 16, 14, 12
Component 53, 30, 22, 20, 17, 15, 13
