Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 11/21/31/41/51, 215, 191, 167, 141, 116, 91
AY, 12/22/33/42/52, 213, 188, 163, 137, 111, 85
AZ, 13/23/35/43/53, 211, 188, 165, 139, 113, 87
BX1, 41/51/84, 212, 188, 164, 139, 114, 89
BX2, 41/51/87, 213, 189, 165, 140, 115, 91
BY1, 42/52/85, 213, 187, 161, 133, 105, 78
BY2, 42/52/88, 213, 187, 161, 133, 106, 79
BZ1, 43/53/86, 212, 189, 166, 139, 112, 86
CP1, 43/53/94, 211, 188, 165, 139, 113, 88
CQ1, 41/51/95, 210, 185, 160, 135, 111, 87
CQ2, 41/51/98, 214, 188, 162, 137, 113, 89
CR1, 42/52/96, 215, 188, 161, 136, 112, 88
CR2, 42/52/99, 216, 189, 162, 137, 113, 89
CX1, 41/51/94, 211, 188, 165, 139, 113, 88
CY1, 42/52/95, 210, 182, 154, 129, 105, 81
CY2, 42/52/98, 214, 185, 156, 131, 107, 83
CZ1, 43/53/96, 215, 191, 167, 142, 118, 94
CZ2, 43/53/99, 216, 192, 168, 143, 119, 95
W31, 42/52/79, 208, 183, 158, 132, 106, 80
W32, 42/52/89, 208, 183, 158, 131, 105, 79
HX, 11/21/32/41/51, 214, 190, 166, 140, 114, 89
HY, 12/22/34/42/52, 215, 189, 163, 137, 111, 86
S1, 11/21/31, –, 96, 84, 73, 62, 52
S2, 11/21/32, –, 95, 83, 72, 61, 50
S3, 12/22/33, –, 96, 86, 74, 63, 52
S4, 12/22/34, –, 97, 86, 75, 64, 53
S5, 13/23/35, –, 93, 82, 70, 59, 48
