Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AX, 260, 11, 21, 31, 41, 51, 205, 177, 149, 124, 99, 75
AY, 260, 12, 22, 33, 42, 52, 209, 180, 151, 124, 97, 71
AZ, 260, 13, 23, 35, 43, 53, 206, 178, 150, 124, 99, 74
BX1, 260, 41, 51, 84, 204, 174, 144, 117, 91, 65
BX2, 260, 41, 51, 87, 204, 174, 144, 117, 91, 65
BY1, 260, 42, 52, 85, 201, 171, 141, 113, 86, 59
BY2, 260, 42, 52, 88, 201, 171, 141, 114, 87, 60
BZ1, 260, 43, 53, 86, 204, 173, 142, 115, 88, 62
CP1, 260, 43, 53, 94, 197, 169, 141, 114, 88, 62
CQ1, 260, 41, 51, 95, 196, 167, 138, 112, 86, 61
CQ2, 260, 41, 51, 98, 197, 169, 141, 115, 89, 63
CR1, 260, 42, 52, 96, 196, 168, 140, 116, 92, 68
CR2, 260, 42, 52, 99, 194, 166, 138, 114, 90, 67
CX1, 260, 41, 51, 94, 197, 169, 141, 114, 88, 62
CY1, 260, 42, 52, 95, 194, 165, 136, 110, 85, 60
CY2, 260, 42, 52, 98, 195, 167, 139, 113, 87, 62
HX, 260, 11, 21, 32, 41, 51, 204, 178, 152, 127, 102, 77
HY, 260, 12, 22, 34, 42, 52, 207, 179, 151, 124, 98, 72
P1, 75, 50, –, 60, 51, 43, 35, 27
P3, 150, 60, 80, 130, 116, 102, 86, 71, 56
S1, 130, 11, 21, 31, –, 92, 80, 69, 58, 47
S2, 130, 11, 21, 32, –, 93, 83, 71, 60, 49
S3, 130, 12, 22, 33, –, 97, 84, 70, 57, 44
S4, 130, 12, 22, 34, –, 96, 84, 71, 58, 45
S5, 130, 13, 23, 35, –, 93, 81, 69, 57, 46
