Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 40, 28, 22, 19, 17, 15
Component 12, 40, 28, 22, 19, 17, 14
Component 13, 40, 28, 22, 19, 17, 15
Component 21, 60, 43, 36, 30, 24, 18
Component 22, 60, 43, 36, 31, 25, 19
Component 23, 60, 43, 36, 30, 24, 18
Component 31, 40, 32, 29, 26, 23, 20
Component 33, 40, 30, 28, 25, 22, 19
Component 34, 40, 32, 30, 27, 24, 22
Component 35, 40, 33, 30, 28, 26, 24
Component 36, 40, 32, 28, 26, 24, 22
Component 41, 100, 66, 56, 45, 34, 22
Component 42, 100, 50, 43, 35, 28, 19
Component 43, 100, 66, 56, 45, 34, 22
Component 51, 30, 22, 20, 17, 14, 12
Component 52, 30, 21, 19, 16, 13, 11
Component 53, 30, 22, 20, 17, 14, 12
