Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 75, 60, 50, 41, 32, 22
Component 12, 75, 60, 53, 41, 29, 18
Component 13, 75, 61, 53, 43, 34, 24
Component 21, 50, 39, 32, 26, 20, 15
Component 22, 50, 39, 35, 28, 21, 14
Component 23, 50, 39, 32, 26, 20, 15
Component 31, 75, 61, 54, 45, 35, 25
Component 32, 75, 57, 51, 42, 33, 23
Component 33, 75, 61, 54, 45, 35, 25
Component 41, 50, 40, 35, 29, 23, 18
Component 42, 50, 39, 33, 27, 21, 15
Component 43, 50, 40, 35, 29, 24, 18
Component 51, 50, 38, 35, 29, 23, 17
Component 52, 50, 35, 28, 22, 16, 10
Component 53, 50, 38, 35, 29, 23, 17
Component 61, 50, 39, 33, 28, 23, 18
Component 62, 50, 40, 35, 29, 23, 17
Component 63, 50, 44, 39, 33, 27, 21
Component 71, 50, 42, 38, 31, 24, 18
Component 72, 50, 45, 40, 34, 27, 21
Component 73, 50, 42, 38, 31, 25, 18
