Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 75, 60, 51, 41, 31, 21
Component 12, 75, 61, 52, 43, 33, 21
Component 13, 75, 60, 51, 43, 33, 23
Component 21, 50, 39, 34, 27, 20, 14
Component 22, 50, 39, 34, 27, 20, 14
Component 23, 50, 39, 34, 27, 20, 14
Component 31, 75, 60, 55, 47, 38, 28
Component 32, 75, 57, 49, 41, 32, 22
Component 33, 75, 61, 55, 47, 38, 29
Component 41, 50, 45, 39, 33, 28, 23
Component 42, 50, 44, 38, 32, 27, 22
Component 43, 50, 45, 39, 33, 28, 23
Component 51, 50, 37, 31, 25, 19, 13
Component 52, 50, 37, 31, 25, 19, 13
Component 53, 50, 37, 31, 25, 19, 13
Component 61, 50, 42, 38, 31, 24, 18
Component 62, 50, 42, 37, 31, 25, 19
Component 63, 50, 42, 37, 30, 24, 18
Component 71, 50, 41, 36, 30, 25, 20
Component 72, 50, 41, 36, 32, 26, 21
Component 73, 50, 41, 36, 31, 26, 21
