Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 75, 59, 51, 42, 32, 22
Component 12, 75, 63, 54, 44, 34, 23
Component 13, 75, 61, 50, 41, 31, 21
Component 21, 50, 40, 35, 28, 22, 16
Component 22, 50, 41, 36, 29, 22, 16
Component 23, 50, 41, 36, 29, 22, 16
Component 31, 75, 55, 50, 42, 33, 24
Component 32, 75, 54, 47, 40, 32, 23
Component 33, 75, 57, 51, 43, 34, 25
Component 41, 50, 43, 36, 30, 25, 19
Component 42, 50, 39, 32, 26, 21, 16
Component 43, 50, 42, 36, 30, 25, 20
Component 51, 50, 34, 27, 21, 16, 11
Component 52, 50, 34, 27, 21, 16, 11
Component 53, 50, 34, 27, 21, 16, 11
Component 61, 50, 43, 39, 32, 25, 19
Component 62, 50, 42, 37, 31, 25, 19
Component 63, 50, 40, 36, 30, 24, 18
Component 71, 50, 42, 37, 31, 25, 19
Component 72, 50, 44, 38, 31, 25, 19
Component 73, 50, 45, 40, 35, 31, 27
