Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 75, 60, 51, 41, 31, 21
Component 12, 75, 62, 53, 44, 34, 23
Component 13, 75, 62, 54, 44, 34, 25
Component 21, 50, 38, 34, 28, 22, 17
Component 22, 50, 40, 37, 30, 24, 18
Component 23, 50, 40, 37, 30, 24, 18
Component 31, 75, 58, 53, 45, 36, 26
Component 32, 75, 58, 51, 42, 32, 22
Component 33, 75, 61, 55, 47, 39, 30
Component 41, 50, 40, 33, 27, 21, 16
Component 42, 50, 41, 34, 28, 23, 18
Component 43, 50, 42, 36, 31, 26, 22
Component 51, 50, 30, 23, 18, 13, 9
Component 52, 50, 30, 25, 20, 15, 10
Component 53, 50, 31, 27, 22, 17, 12
Component 61, 50, 39, 36, 30, 24, 19
Component 62, 50, 42, 37, 30, 24, 18
Component 63, 50, 40, 36, 30, 24, 18
Component 71, 50, 40, 36, 30, 25, 20
Component 72, 50, 42, 36, 30, 24, 19
Component 73, 50, 42, 37, 33, 25, 20
