Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AY, 12/32/42/62, 234, 219, 197, 168, 139, 110
BY, 12/32/42/52, 230, 210, 184, 154, 124, 95
CY, 12/32/62/72, 235, 220, 199, 171, 143, 115
DY, 32/62/85, 234, 219, 192, 160, 128, 97
EY, 32/42/88, 230, 210, 183, 150, 117, 84
FY, 32/52/85, 230, 210, 179, 146, 114, 82
GY, 32/72/88, 230, 211, 185, 153, 121, 89
HY, 32/62/95, 228, 206, 184, 152, 121, 90
IY, 32/42/98, 229, 209, 186, 152, 118, 84
JY, 32/52/95, 223, 197, 171, 139, 107, 75
KY, 32/72/98, 230, 210, 188, 155, 122, 89
OV, 32/62/75, 232, 214, 191, 163, 135, 107
PV, 32/42/78, 230, 210, 185, 155, 125, 96
QV, 32/52/75, 227, 205, 178, 149, 120, 92
RV, 32/72/78, 230, 211, 187, 158, 129, 101
S4, 12/22, –, 106, 96, 81, 66, 51
S5, 12/42, –, 110, 98, 82, 67, 52
S6, 12/62, –, 112, 102, 88, 75, 62
