Combined Component Code, Paper Combinations, A*, A, B, C, D, E
AY, 12/32/42/52, 228, 206, 182, 151, 121, 91
CY, 12/32/52/62, 228, 206, 184, 154, 124, 95
DY, 32/52/85, 229, 208, 183, 152, 121, 90
EY, 32/42/88, 228, 206, 178, 146, 114, 83
GY, 32/62/88, 228, 206, 180, 149, 118, 87
HY, 32/52/95, 227, 206, 185, 152, 119, 86
IY, 32/42/98, 230, 211, 189, 155, 122, 89
KY, 32/62/98, 230, 211, 191, 158, 125, 93
OV, 32/52/75, 231, 213, 190, 159, 129, 99
PV, 32/42/78, 232, 215, 192, 164, 136, 108
RV, 32/62/78, 232, 215, 194, 166, 139, 112
S4, 12/22, –, 100, 90, 74, 59, 44
S5, 12/42, –, 103, 90, 74, 59, 44
S6, 12/52, –, 103, 92, 76, 60, 45
