Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 75, 62, 54, 43, 32, 22
Component 12, 75, 61, 55, 43, 31, 19
Component 13, 75, 62, 55, 45, 35, 25
Component 21, 50, 39, 32, 26, 21, 15
Component 22, 50, 40, 35, 28, 21, 14
Component 23, 50, 39, 32, 26, 21, 15
Component 31, 75, 62, 55, 47, 38, 28
Component 32, 75, 61, 54, 45, 36, 26
Component 33, 75, 62, 55, 47, 38, 28
Component 41, 50, 40, 34, 28, 22, 16
Component 42, 50, 36, 30, 24, 18, 13
Component 43, 50, 42, 37, 31, 26, 21
Component 51, 50, 33, 29, 25, 21, 17
Component 52, 50, 29, 24, 19, 14, 9
Component 53, 50, 33, 29, 25, 21, 17
Component 61, 50, 41, 36, 30, 24, 18
Component 62, 50, 41, 36, 30, 23, 17
Component 63, 50, 45, 41, 34, 27, 21
Component 71, 50, 44, 40, 35, 29, 23
Component 72, 50, 38, 34, 29, 24, 19
Component 73, 50, 44, 40, 35, 29, 23
