Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 75, 62, 55, 45, 35, 25
Component 12, 75, 62, 52, 42, 32, 21
Component 13, 75, 62, 54, 44, 34, 24
Component 21, 50, 42, 36, 30, 24, 18
Component 22, 50, 43, 38, 31, 24, 18
Component 23, 50, 43, 38, 31, 24, 18
Component 31, 75, 56, 47, 39, 30, 21
Component 32, 75, 56, 50, 42, 34, 25
Component 33, 75, 57, 51, 44, 36, 28
Component 41, 50, 40, 34, 28, 22, 16
Component 42, 50, 43, 39, 33, 27, 22
Component 43, 50, 42, 36, 31, 27, 23
Component 51, 50, 36, 29, 23, 18, 12
Component 52, 50, 35, 28, 22, 16, 11
Component 53, 50, 36, 29, 23, 18, 12
Component 61, 50, 40, 36, 30, 25, 20
Component 62, 50, 41, 36, 29, 22, 16
Component 63, 50, 45, 41, 35, 30, 25
Component 71, 50, 40, 36, 30, 24, 18
Component 72, 50, 42, 37, 31, 25, 19
Component 73, 50, 42, 36, 31, 26, 21
