Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 75, 52, 44, 34, 24, 14
Component 12, 75, 54, 45, 34, 23, 12
Component 13, 75, 56, 48, 39, 30, 20
Component 21, 50, 38, 31, 24, 17, 11
Component 22, 50, 40, 33, 26, 19, 12
Component 23, 50, 38, 31, 24, 17, 11
Component 31, 75, 62, 54, 45, 36, 26
Component 32, 75, 51, 43, 36, 28, 21
Component 33, 75, 62, 54, 45, 36, 26
Component 41, 50, 39, 33, 28, 22, 17
Component 42, 50, 36, 30, 23, 18, 11
Component 43, 50, 40, 34, 28, 22, 16
Component 51, 50, 40, 33, 26, 19, 13
Component 52, 50, 38, 31, 24, 17, 10
Component 53, 50, 41, 35, 28, 21, 15
Component 61, 50, 42, 35, 29, 22, 16
Component 62, 50, 36, 30, 23, 18, 11
Component 63, 50, 42, 35, 29, 22, 16
