Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 75, 50, 43, 33, 23, 14
Component 12, 75, 49, 40, 30, 20, 10
Component 13, 75, 62, 53, 40, 28, 16
Component 21, 50, 33, 28, 23, 19, 14
Component 22, 50, 40, 30, 23, 16, 9
Component 23, 50, 40, 30, 23, 16, 9
Component 31, 75, 52, 45, 36, 26, 17
Component 32, 75, 52, 45, 36, 27, 17
Component 33, 75, 57, 51, 42, 34, 25
Component 34, 75, 53, 45, 36, 26, 16
Component 41, 50, 36, 31, 26, 22, 16
Component 42, 50, 38, 30, 24, 18, 13
Component 43, 50, 38, 31, 25, 18, 12
Component 51, 50, 35, 30, 24, 19, 13
Component 52, 50, 38, 31, 25, 18, 12
Component 53, 50, 40, 34, 27, 20, 13
Component 58, 75, 66, 61, 53, 46, 39
Component 59, 75, 64, 59, 49, 39, 30
Component 60, 75, 64, 59, 52, 45, 37
Component 61, 50, 38, 34, 28, 23, 16
Component 62, 50, 39, 34, 29, 24, 19
Component 63, 50, 38, 31, 26, 20, 15
Component 68, 75, 61, 49, 45, 41, 38
Component 69, 75, 60, 52, 48, 44, 39
