Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 75, 56, 49, 40, 31, 22
Component 12, 75, 55, 48, 37, 26, 15
Component 13, 75, 56, 49, 40, 31, 22
Component 21, 50, 35, 31, 25, 20, 15
Component 22, 50, 36, 32, 26, 21, 16
Component 23, 50, 35, 31, 26, 21, 16
Component 31, 75, 64, 58, 49, 40, 30
Component 32, 75, 64, 58, 49, 40, 30
Component 33, 75, 62, 55, 45, 35, 25
Component 41, 50, 40, 30, 25, 20, 15
Component 42, 50, 41, 35, 29, 23, 17
Component 43, 50, 35, 28, 23, 17, 11
Component 51, 50, 34, 29, 23, 18, 13
Component 52, 50, 34, 29, 23, 18, 13
Component 53, 50, 35, 30, 24, 18, 12
Component 61, 50, 42, 38, 32, 27, 22
Component 62, 50, 41, 37, 32, 27, 22
Component 63, 50, 42, 36, 29, 22, 15
Component 71, 50, 45, 39, 33, 27, 21
Component 72, 50, 45, 39, 33, 27, 21
Component 73, 50, 41, 37, 31, 24, 18
