Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 75, 61, 52, 42, 32, 22
Component 12, 75, 66, 61, 48, 35, 23
Component 13, 75, 63, 56, 46, 36, 27
Component 21, 50, 40, 35, 28, 22, 15
Component 22, 50, 41, 37, 30, 23, 15
Component 23, 50, 40, 35, 28, 22, 15
Component 31, 75, 62, 55, 46, 37, 28
Component 32, 75, 60, 53, 43, 33, 24
Component 33, 75, 58, 50, 42, 33, 24
Component 41, 50, 40, 34, 29, 23, 17
Component 42, 50, 37, 32, 27, 22, 16
Component 43, 50, 42, 37, 31, 26, 20
Component 51, 50, 38, 32, 27, 22, 16
Component 52, 50, 36, 29, 24, 18, 11
Component 53, 50, 38, 32, 27, 22, 16
Component 61, 50, 44, 38, 32, 26, 19
Component 62, 50, 42, 38, 33, 27, 20
Component 63, 50, 44, 40, 34, 28, 22
Component 72, 50, 40, 36, 31, 25, 19
Component 73, 50, 44, 40, 35, 30, 24
