Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 75, 62, 54, 44, 34, 24
Component 12, 75, 65, 54, 43, 31, 19
Component 13, 75, 65, 57, 47, 37, 28
Component 21, 50, 39, 32, 25, 18, 12
Component 22, 50, 38, 33, 27, 22, 16
Component 23, 50, 38, 33, 27, 22, 16
Component 31, 75, 57, 49, 40, 31, 21
Component 32, 75, 61, 56, 47, 36, 25
Component 33, 75, 53, 47, 39, 32, 25
Component 41, 50, 45, 38, 32, 26, 20
Component 42, 50, 45, 39, 32, 26, 20
Component 43, 50, 43, 38, 33, 27, 21
Component 51, 50, 33, 25, 21, 15, 10
Component 52, 50, 26, 20, 16, 12, 9
Component 53, 50, 33, 25, 21, 15, 10
Component 61, 50, 42, 38, 32, 25, 19
Component 62, 50, 38, 34, 28, 22, 17
Component 63, 50, 42, 37, 32, 25, 19
Component 71, 50, 45, 40, 33, 26, 20
Component 72, 50, 41, 36, 30, 25, 20
Component 73, 50, 42, 37, 33, 28, 23
