Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 75, 55, 46, 37, 28, 18
Component 12, 75, 57, 50, 39, 28, 16
Component 13, 75, 54, 45, 37, 29, 20
Component 21, 50, 33, 29, 23, 17, 12
Component 22, 50, 33, 29, 23, 17, 12
Component 23, 50, 33, 29, 23, 17, 12
Component 31, 75, 55, 48, 40, 31, 21
Component 32, 75, 55, 48, 40, 31, 21
Component 33, 75, 56, 50, 42, 33, 24
Component 41, 50, 41, 36, 30, 24, 19
Component 42, 50, 35, 30, 25, 20, 15
Component 43, 50, 41, 36, 30, 25, 19
Component 51, 50, 40, 36, 29, 23, 17
Component 52, 50, 36, 30, 23, 16, 10
Component 53, 50, 40, 36, 29, 23, 17
Component 61, 50, 39, 35, 30, 25, 20
Component 62, 50, 40, 35, 28, 21, 14
Component 63, 50, 38, 32, 26, 21, 15
Component 71, 50, 40, 36, 30, 24, 19
Component 72, 50, 40, 36, 30, 24, 19
Component 73, 50, 43, 39, 33, 28, 22
