Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 75, 54, 46, 36, 27, 17
Component 12, 75, 54, 42, 31, 21, 10
Component 13, 75, 59, 50, 41, 31, 21
Component 21, 50, 35, 30, 23, 16, 10
Component 22, 50, 35, 30, 23, 16, 9
Component 23, 50, 35, 30, 23, 16, 9
Component 31, 75, 53, 45, 37, 28, 18
Component 32, 75, 57, 49, 40, 31, 21
Component 33, 75, 57, 51, 43, 36, 27
Component 41, 50, 36, 30, 25, 20, 16
Component 42, 50, 37, 32, 25, 18, 12
Component 43, 50, 37, 31, 26, 20, 15
Component 51, 50, 38, 33, 27, 21, 16
Component 52, 50, 36, 31, 24, 16, 9
Component 53, 50, 37, 31, 25, 19, 14
Component 58, 75, 51, 42, 33, 24, 15
Component 59, 75, 50, 44, 35, 26, 18
Component 60, 75, 51, 44, 35, 27, 18
Component 61, 50, 37, 32, 26, 20, 15
Component 62, 50, 39, 34, 28, 22, 16
Component 63, 50, 41, 33, 28, 21, 16
Component 68, 75, 51, 43, 34, 24, 15
Component 69, 75, 52, 42, 33, 24, 15
