Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 75, 49, 41, 32, 23, 13
Component 12, 75, 51, 42, 31, 21, 10
Component 13, 75, 55, 46, 37, 28, 18
Component 21, 50, 35, 28, 22, 16, 10
Component 22, 50, 38, 32, 25, 18, 12
Component 23, 50, 38, 32, 25, 18, 12
Component 31, 75, 52, 45, 37, 29, 20
Component 32, 75, 54, 46, 37, 28, 19
Component 33, 75, 56, 49, 41, 32, 24
Component 41, 50, 34, 27, 21, 15, 10
Component 42, 50, 31, 26, 21, 16, 11
Component 43, 50, 35, 30, 24, 19, 14
Component 51, 50, 37, 30, 24, 18, 12
Component 52, 50, 40, 34, 28, 22, 16
Component 53, 50, 40, 34, 28, 22, 15
Component 61, 50, 37, 30, 24, 18, 12
Component 62, 50, 39, 35, 29, 23, 18
Component 63, 50, 37, 32, 26, 20, 14
