Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 75, 57, 46, 37, 28, 19
Component 12, 75, 61, 54, 42, 29, 16
Component 13, 75, 55, 46, 37, 28, 19
Component 21, 50, 39, 35, 27, 20, 13
Component 22, 50, 40, 35, 27, 20, 13
Component 23, 50, 39, 35, 27, 20, 13
Component 31, 75, 58, 51, 42, 33, 23
Component 32, 75, 58, 50, 41, 31, 21
Component 33, 75, 57, 49, 41, 32, 23
Component 41, 50, 34, 30, 24, 18, 13
Component 42, 50, 34, 28, 22, 17, 12
Component 43, 50, 30, 25, 20, 15, 11
Component 51, 50, 39, 34, 28, 22, 17
Component 52, 50, 35, 30, 23, 17, 11
Component 53, 50, 38, 33, 27, 21, 15
Component 58, 75, 51, 42, 33, 24, 15
Component 59, 75, 50, 44, 35, 26, 18
Component 61, 50, 40, 34, 29, 23, 18
Component 62, 50, 37, 32, 26, 21, 16
Component 63, 50, 40, 34, 29, 23, 18
