Paper Commponent, Max Raw Mark, A, B, C, D, E
Component 11, 75, 50, 40, 30, 21, 11
Component 12, 75, 51, 40, 29, 18, 7
Component 13, 75, 52, 43, 34, 25, 15
Component 21, 50, 39, 33, 25, 17, 10
Component 22, 50, 39, 33, 24, 15, 7
Component 23, 50, 39, 33, 25, 17, 10
Component 31, 75, 52, 43, 35, 26, 17
Component 32, 75, 50, 41, 33, 24, 14
Component 33, 75, 52, 44, 36, 28, 19
Component 41, 50, 35, 29, 23, 16, 10
Component 42, 50, 28, 23, 17, 11, 6
Component 43, 50, 35, 29, 22, 16, 10
Component 51, 50, 36, 31, 24, 17, 11
Component 52, 50, 37, 31, 22, 14, 6
Component 53, 50, 40, 35, 29, 23, 17
Component 61, 50, 42, 37, 31, 26, 20
Component 62, 50, 34, 30, 24, 19, 14
Component 63, 50, 42, 37, 31, 26, 20
